t,level,marginal,lower,upper,scale
t374,1.8,0.0,0.2,1.8,1.0
t375,1.8,0.0,0.2,1.8,1.0
t376,1.8,0.0,0.2,1.8,1.0
t377,1.8,0.0,0.2,1.8,1.0
t378,1.8,0.0,0.2,1.8,1.0
t379,0.2,-0.177464212947271,0.2,1.8,1.0
t380,0.2,0.0,0.2,1.8,1.0
t381,0.2,0.0,0.2,1.8,1.0
t382,0.2,0.0,0.2,1.8,1.0
t383,0.2,0.0,0.2,1.8,1.0
t384,0.2,0.0,0.2,1.8,1.0
t385,0.2,0.0,0.2,1.8,1.0
t386,0.2,0.0,0.2,1.8,1.0
t387,0.2,0.0,0.2,1.8,1.0
t388,0.2,0.0,0.2,1.8,1.0
t389,0.2,-1.2647615631766627,0.2,1.8,1.0
t390,0.2,0.0,0.2,1.8,1.0
t391,0.2,0.0,0.2,1.8,1.0
t392,0.2,0.0,0.2,1.8,1.0
t393,0.2,0.0,0.2,1.8,1.0
t394,1.73,0.0,0.2,1.8,1.0
t395,1.8,1.6077361676513817,0.2,1.8,1.0
t396,1.8,0.0,0.2,1.8,1.0
t397,1.8,0.0,0.2,1.8,1.0
t398,1.8,0.0,0.2,1.8,1.0
t399,1.8,0.0,0.2,1.8,1.0
t400,1.8,0.0,0.2,1.8,1.0
t401,1.8,0.0,0.2,1.8,1.0
t402,1.8,0.0,0.2,1.8,1.0
t403,0.2,-0.37795659746387855,0.2,1.8,1.0
t404,0.2,0.0,0.2,1.8,1.0
t405,0.2,0.0,0.2,1.8,1.0
t406,0.2,0.0,0.2,1.8,1.0
t407,0.2,0.0,0.2,1.8,1.0
t408,0.2,0.0,0.2,1.8,1.0
t409,0.2,0.0,0.2,1.8,1.0
t410,0.2,0.0,0.2,1.8,1.0
t411,0.2,0.0,0.2,1.8,1.0
t412,0.2,-1.1974666128794098,0.2,1.8,1.0
t413,0.2,0.0,0.2,1.8,1.0
t414,0.2,0.0,0.2,1.8,1.0
t415,0.2,0.0,0.2,1.8,1.0
t416,0.2,0.0,0.2,1.8,1.0
t417,0.2,0.0,0.2,1.8,1.0
t418,1.73,0.0,0.2,1.8,1.0
t419,1.8,1.4679119980834514,0.2,1.8,1.0
t420,1.8,0.0,0.2,1.8,1.0
t421,1.8,0.0,0.2,1.8,1.0
t422,1.8,0.0,0.2,1.8,1.0
t423,1.8,0.0,0.2,1.8,1.0
t424,1.8,0.0,0.2,1.8,1.0
t425,1.8,0.0,0.2,1.8,1.0
t426,1.8,0.0,0.2,1.8,1.0
t427,0.2,-0.37929336164800986,0.2,1.8,1.0
t428,0.2,0.0,0.2,1.8,1.0
t429,0.2,0.0,0.2,1.8,1.0
t430,0.2,0.0,0.2,1.8,1.0
t431,0.2,0.0,0.2,1.8,1.0
t432,0.2,0.0,0.2,1.8,1.0
t433,0.2,0.0,0.2,1.8,1.0
t434,0.2,0.0,0.2,1.8,1.0
t435,0.2,0.0,0.2,1.8,1.0
t436,0.2,0.0,0.2,1.8,1.0
t437,0.2,0.0,0.2,1.8,1.0
t438,0.2,0.0,0.2,1.8,1.0
t439,0.2,-1.0428550261056557,0.2,1.8,1.0
t440,0.2,0.0,0.2,1.8,1.0
t441,0.2,0.0,0.2,1.8,1.0
t442,1.73,0.0,0.2,1.8,1.0
t443,1.8,1.4556356932727255,0.2,1.8,1.0
t444,1.8,0.0,0.2,1.8,1.0
t445,1.8,0.0,0.2,1.8,1.0
t446,1.8,0.0,0.2,1.8,1.0
t447,1.8,0.0,0.2,1.8,1.0
t448,1.8,0.0,0.2,1.8,1.0
t449,1.8,0.0,0.2,1.8,1.0
t450,1.8,0.0,0.2,1.8,1.0
t451,0.2,-0.259704623097619,0.2,1.8,1.0
t452,0.2,0.0,0.2,1.8,1.0
t453,0.2,0.0,0.2,1.8,1.0
t454,0.2,0.0,0.2,1.8,1.0
t455,0.2,0.0,0.2,1.8,1.0
t456,0.2,0.0,0.2,1.8,1.0
t457,0.2,0.0,0.2,1.8,1.0
t458,0.2,-1.1375857209867348,0.2,1.8,1.0
t459,0.2,0.0,0.2,1.8,1.0
t460,0.2,0.0,0.2,1.8,1.0
t461,0.2,0.0,0.2,1.8,1.0
t462,0.2,0.0,0.2,1.8,1.0
t463,0.2,0.0,0.2,1.8,1.0
t464,0.2,0.0,0.2,1.8,1.0
t465,0.2,0.0,0.2,1.8,1.0
t466,1.73,0.0,0.2,1.8,1.0
t467,1.8,1.3543169152283099,0.2,1.8,1.0
t468,1.8,0.0,0.2,1.8,1.0
t469,1.8,0.0,0.2,1.8,1.0
t470,1.8,0.0,0.2,1.8,1.0
t471,1.8,0.0,0.2,1.8,1.0
t472,1.8,0.0,0.2,1.8,1.0
t473,1.8,0.0,0.2,1.8,1.0
t474,1.8,0.0,0.2,1.8,1.0
t475,0.2,-0.2436537640412979,0.2,1.8,1.0
t476,0.2,0.0,0.2,1.8,1.0
t477,0.2,0.0,0.2,1.8,1.0
t478,0.2,0.0,0.2,1.8,1.0
t479,0.2,0.0,0.2,1.8,1.0
t480,0.2,0.0,0.2,1.8,1.0
t481,0.2,0.0,0.2,1.8,1.0
t482,0.2,0.0,0.2,1.8,1.0
t483,0.2,0.0,0.2,1.8,1.0
t484,0.2,-1.2332493493315155,0.2,1.8,1.0
t485,0.2,0.0,0.2,1.8,1.0
t486,0.2,0.0,0.2,1.8,1.0
t487,0.2,0.0,0.2,1.8,1.0
t488,0.2,0.0,0.2,1.8,1.0
t489,0.2,0.0,0.2,1.8,1.0
t490,1.73,0.0,0.2,1.8,1.0
t491,1.8,0.0,0.2,1.8,1.0
t492,1.8,0.0,0.2,1.8,1.0
t493,1.8,0.0,0.2,1.8,1.0
t494,1.8,0.0,0.2,1.8,1.0
t495,1.8,0.0,0.2,1.8,1.0
t496,1.8,0.0,0.2,1.8,1.0
t497,1.8,1.6582209576012445,0.2,1.8,1.0
t498,1.8,0.0,0.2,1.8,1.0
t499,0.2,-0.461442330729966,0.2,1.8,1.0
t500,0.2,0.0,0.2,1.8,1.0
t501,0.2,0.0,0.2,1.8,1.0
t502,0.2,0.0,0.2,1.8,1.0
t503,0.2,0.0,0.2,1.8,1.0
t504,0.2,0.0,0.2,1.8,1.0
t505,0.2,0.0,0.2,1.8,1.0
t506,0.2,-1.1646564456615067,0.2,1.8,1.0
t507,0.2,0.0,0.2,1.8,1.0
t508,0.2,0.0,0.2,1.8,1.0
t509,0.2,0.0,0.2,1.8,1.0
t510,0.2,0.0,0.2,1.8,1.0
t511,0.2,0.0,0.2,1.8,1.0
t512,0.2,0.0,0.2,1.8,1.0
t513,0.2,0.0,0.2,1.8,1.0
t514,1.73,0.0,0.2,1.8,1.0
t515,1.8,0.0,0.2,1.8,1.0
